time,scout_1_position,scout_10_position,line_spread
0,0.000,0.000,0.000
10,0.432,0.172,0.260
20,0.856,0.335,0.521
30,1.289,0.501,0.788
40,1.715,0.668,1.047
50,2.142,0.836,1.306
60,2.573,1.008,1.565
